Timestamp,What is the most visited cafeteria for you?,What time visit the cafeteria most often?,How often do you visit the cafeteria near you?,Which day of the week do you visit the cafeteria most often?,For which kind of meals do you visit the cafeteria?,In what kind of weather do you most often visit the cafeteria,"What is the most common time gap (in hours) between your visit to the cafeteria and your next class?
Enter only a numeric value.",What do you feel is the most busiest time of the cafeterias you visit
24/03/2025 12:52:49,Techno,18:30:00,,Friday,Snacks,Sunny/Clear,,
24/03/2025 12:54:13,IC,19:00:00,,Sunday,Snacks,Cloudy,,
24/03/2025 12:56:24,IC,17:30:00,,Saturday,Snacks,Sunny/Clear,0,
24/03/2025 12:59:00,IC,,,Saturday,Breakfast,Sunny/Clear,,
24/03/2025 12:59:43,IC,19:00:00,,Thursday,Snacks,Cloudy,1,
24/03/2025 13:04:45,IC,12:50:00,,Friday,Snacks,Sunny/Clear,0.167,
24/03/2025 13:06:46,Pahaan,05:30:00,,Saturday,Breakfast,Sunny/Clear,1,
24/03/2025 13:06:58,Techno,21:00:00,,Saturday,Snacks,Sunny/Clear,10,
24/03/2025 13:08:14,Chhotu,,,Saturday,Dinner,Sunny/Clear,1,
24/03/2025 13:09:24,Pahaan,09:30:00,,Sunday,Snacks,Cloudy,1,
24/03/2025 13:09:51,IC,05:00:00,,Wednesday,Snacks,Sunny/Clear,,
24/03/2025 13:15:25,Techno,18:00:00,,Wednesday,Snacks,Sunny/Clear,14,
24/03/2025 13:22:15,Techno,17:30:00,,Saturday,Snacks,Sunny/Clear,,
24/03/2025 13:26:13,Chhotu,20:09:00,,Thursday,Dinner,Sunny/Clear,12,
24/03/2025 13:26:32,IC,12:00:00,,Monday,Breakfast,Cloudy,1,
24/03/2025 13:26:38,Techno,22:00:00,,Saturday,Snacks,Cloudy,,
24/03/2025 13:28:16,Techno,21:00:00,,Sunday,Snacks,Cloudy,1,
24/03/2025 13:32:26,IC,07:00:00,,Friday,Snacks,Cloudy,,
24/03/2025 13:33:04,IC,12:30:00,,Saturday,Snacks,Cloudy,2,
24/03/2025 13:35:42,Chhotu,14:00:00,,Saturday,Lunch,Cloudy,45,
24/03/2025 13:38:49,IC,18:00:00,,Friday,Snacks,Sunny/Clear,,
24/03/2025 13:41:32,IC,11:00:00,,Tuesday,Snacks,Cloudy,1,
24/03/2025 13:46:50,Techno,22:30:00,,Friday,Dinner,Cloudy,2,
24/03/2025 13:52:06,Techno,22:00:00,,Tuesday,Snacks,Cloudy,,
24/03/2025 13:54:06,Chhotu,09:00:00,,Saturday,Dinner,Sunny/Clear,1 hour,
24/03/2025 13:55:39,IC,06:00:00,,Sunday,Snacks,Sunny/Clear,1,
24/03/2025 13:55:45,Techno,06:00:00,,Saturday,Snacks,Sunny/Clear,3,
24/03/2025 13:56:31,Pahaan,20:00:00,,Thursday,Dinner,Cloudy,,
